wyniki wychodzace,,,,,wyniki obliczone,,,,,,,
liczba agentow,Gauss(bez optymalizacji),Gauss(zoptymalizowany),Gauss-Seidel,,liczba agentow,Gauss(bez optymalizacji),Gauss(zoptymalizowany),Gauss-Seidel,,Blad bezwzgledny Gauss, Blad bezwzgledny Gauss(zoptymalizowany), Blad bezwzgledny Gauss-Seidel
10,26566799,4347855,210280754,,10,-21825056.5191805,68364995.2394295,159655413.048506,,48391855.5191805,64017140.2394295,50625340.9514943
11,30953814,3837946,75925392,,11,-4061199.25841067,63221730.8051408,156829772.556899,,35015013.2584107,59383784.8051409,80904380.5568986
12,48022201,8043146,86921307,,12,14400440.3316993,57870703.5710187,154837616.588212,,33621760.6683007,49827557.5710187,67916309.5882124
13,60310920,5363149,68371249,,13,33465747.1586996,52364915.7537888,153935494.23778,,26845172.8413004,47001766.7537888,85564245.2377804
14,42021626,17930442,106898886,,14,53069402.7744616,46761446.6637711,154399689.14673,,11047776.7744616,28831004.6637711,47500803.1467304
15,101456465,13045457,94106805,,15,73182893.43447,41121452.70488,156526219.501986,,28273571.56553,28075995.70488,62419414.5019855
16,183362693,26727449,177373830,,16,93823090.1613509,35510167.3746241,160630838.036263,,89539602.8386491,8782718.37462412,16742991.9637367
17,287773191,37151736,282627579,,17,115061400.812635,29996901.2641062,167049032.028076,,172711790.187365,7154834.73589376,115578546.971924
18,273690389,23360476,144452508,,18,137033494.152755,24655042.0580236,176136023.301732,,136656894.847245,1294566.05802359,31683515.3017324
19,158975340,7890991,118816570,,19,159949595.929281,19562054.5346676,188266768.227334,,974255.929280639,11671063.5346676,69450198.2273335
20,89146461,9654449,177016548,,20,184105356.953386,14799480.5659241,203835957.720777,,94958895.9533857,5145031.56592406,26819409.7207769
21,77855456,11726249,200976682,,21,209893293.184553,10452939.117273,223258017.243755,,132037837.184553,1273309.88272704,22281335.2437546
22,136634850,14136734,229345603,,22,237814797.819511,6612126.24778863,246967106.803754,,101179947.819511,7524607.75221137,17621503.8037536
23,139353682,21521068,342178327,,23,268492725.385413,3370815.11013969,275417120.954056,,129139043.385413,18150252.8898603,66761206.0459445
24,232401002,23029026,448948518,,24,302684547.837241,826855.950589001,309081688.793737,,70283545.8372408,22202170.049411,139866829.206263
25,275884325,21080452,358217188,,25,341296082.659453,-917823.891006231,348454173.96767,,65411757.6594529,21998275.8910062,9763014.03233028
26,248795812,21524527,360235361,,26,385395792.971862,-1757219.98119451,394047674.66652,,136599980.971862,23281746.9811945,33812313.6665198
27,298729628,30773715,410412661,,27,436229659.639754,-1581250.79293013,446395023.626748,,137500031.639754,32354965.7929301,35982362.6267484
28,385485535,30628180,495766426,,28,495236625.38823,-275757.705573022,506048788.130612,,109751090.38823,30903937.705573,10282362.1306116
29,457518060,54527745,647232011,,29,564064610.920804,2277494.99511114,573581270.006161,,106546550.920804,52250250.0048889,73650740.9938395
30,723280567,56521802,806010358,,30,644587103.042209,6200820.11695099,649584505.627241,,78693463.9577912,50320981.883049,156425852.372759
31,850163629,71414543,886099925,,31,738920314.785465,11620607.5613694,734670265.913493,,111243314.214535,59793935.4386306,151429659.086507
32,989404563,90776209,978253748,,32,849440917.543163,18667324.3233835,829470056.330352,,139963645.456837,72108884.6766165,148783691.669648
33,969509077,72721639,907646925,,33,978804345.202993,27475514.491605,934635116.88905,,9295268.20299268,45246124.5083951,26988191.8890495
34,1084361792,143315449,1016686660,,34,1129963670.28751,38183799.2482394,1050836422.14661,,45601878.2875049,105131649.751761,34149762.1466095
35,1297998974,86423753,1187872305,,35,1306189052.09811,50934876.8690869,1178764681.20585,,8190078.09810734,35488876.1309131,9107623.79414702
36,1479319727,97994249,1436516878,,36,1511087756.86329,65875522.7235418,1319130337.71539,,31768029.8632946,32118726.2764582,117386540.284606
37,1736466406,108173628,1487050368,,37,1748624749.89112,83156589.2745928,1472663569.86964,,12158343.8911176,25017038.7254072,14386798.130357
38,2048841298,116038365,1640490431,,38,2023143859.72588,102933006.078823,1640114290.4088,,25697438.2741153,13105358.9211774,376140.591195583
39,2369249259,150125894,1828965112,,39,2339389514.3091,125363779.786409,1822252146.61888,,29859744.6909022,24762114.2135913,6712965.38112259
40,2733685921,165045231,1906812123,,40,2702529049.14463,150611994.141122,2019866520.33166,,31156871.8553734,14433236.8588777,113054397.331657
41,3230158305,166826339,2183985638,,41,3118175587.46811,178844809.98033,2233766527.92473,,111982717.531885,12018470.9803295,49780889.9247317
42,3637360439,197548331,2424313699,,42,3592411492.42062,210233465.23499,2464781020.32148,,44948946.5793772,12685134.2349901,40467321.3214855
43,4175666209,203399661,2675718440,,43,4131812391.22651,244953274.929658,2713758582.9911,,43853817.7734909,41553613.9296585,38040142.9910989
44,4846561631,285607139,2957827691,,44,4743471771.37554,283183631.182483,2981567535.94854,,103089859.624463,2423507.81751662,23739844.9485435
45,5560189514,256676816,3074553983,,45,5435026148.80923,325108003.205208,3269095933.75459,,125163365.190772,68431187.2052076,194541950.75459
46,6290164087,325227035,3438811692,,46,6214680808.11145,370913937.303169,3577251565.5158,,75483278.8885536,45686902.3031686,138439873.5158
47,7220031657,347577504,3807619851,,47,7091236114.70321,420793056.875298,3906961954.88453,,128795542.296792,73215552.8752977,99342103.8845329
48,8164115525,396518711,4375339996,,48,8074114399.04175,474941062.414121,4259174360.05894,,90001125.9582462,78422351.4141207,116165635.941059
49,9057635924,427091477,4542031440,,49,9173387412.82382,533557731.505758,4634855773.78297,,115751488.823816,106466254.505758,92824333.7829742
50,10252094184,480644882,4992452736,,50,10399804357.1932,596846918.829923,5034992923.34637,,147710173.193159,116202036.829923,42540187.3463745
51,11573662279,567151392,5511569713,,51,11764820482.9523,665016556.159925,5460592270.58468,,191158203.952333,97865164.159925,50977442.4153204
52,13559553780,821153588,5902229192,,52,13280626262.7787,738278652.362667,5912680011.87922,,278927517.221334,82874935.6373327,10450819.8792219
53,15043293154,701115143,6641436054,,53,14960177135.4445,816849293.398647,6392302078.15713,,83116018.5555,115734150.398647,249133975.842871
54,16476435565,915658700,6857458344,,54,16817223822.0417,900948642.321955,6900524134.89132,,340788257.041649,14710057.6780453,43065790.8913231
55,18759547867,1049653330,7521637160,,55,18866343214.2101,990800939.280277,7438431582.10052,,106795347.210106,58852390.7197228,83205577.899478
56,20953343317,1148413566,8015224531,,56,21122969834.371,1086634501.51489,8007129554.34924,,169626517.370975,61779064.4851057,8094976.6507616
57,23403004553,1241955437,8599697057,,57,23603427867.9636,1188681723.36068,8607742920.74778,,200423314.963642,53273713.6393199,8045863.74777794
58,26249045735,1352822371,9186725006,,58,26324963767.6872,1297179076.2461,9241416284.95224,,75918032.6871872,55643294.7538965,54691278.9522438
59,29783362748,1460500313,9926539342,,59,29305779429.746,1412367108.69323,9909313985.16453,,477583318.254005,48133204.3067725,17225356.8354683
,,,,,,,,,,suma,suma,suma
,,,,,,,,,,102024625.921996,42892457.9243316,64096036.2824337
,,,,,,,,,,na sekundy,na sekundy,na sekundy
,,,,,,,,,,0.102024625921996,0.0428924579243316,0.0640960362824337
