n,Gauss,zopzoptymalizowany Gauss,Gauss-Seidel,Sparse,wyliczony czas Gauss,wyliczony czas Gauss(z),wyliczony czas Gauss-Seidel,wyliczony czas Sparse,,,,,
1,78400.9999999959,-566829.1,-313667.600000001,268790.5,78400.9999999959,-566829.1,-313667.600000001,268790.5,,,,,
10,238510,18896,-70794,-26088,2385100,188960,-707940,-260880,,,,,
100,-23471,3975.8,10468,0,-2347100,397580,1046800,0,,,,,
1000,-98.6599999999993,0,0,0,-98659.9999999993,0,0,0,,,,,
dla n - ,10,suma,czasow,wynosi,17740.9999999998,19710.9,25192.4000000001,7910.5,,gslow,gfast,G-seid,sparse
1,-168750.2,-95372.5000000003,-139732.7,-356349.2,-168750.2,-95372.5000000003,-139732.7,-356349.2,,17741.0,19710.9,25192.4000000001,7910.5
11,-13790.9090909091,-20632.7272727273,7670.90909090912,33476.3636363636,-151700,-226960,84380.0000000003,368240,,12529.8,12807.5,12367.3,11890.8
121,914.380165289255,2769.7520661157,559.669421487601,0,110640,335140,67719.9999999997,0,,16154.2,14789.7,14853.2,16001.9
1331,167.047332832457,0,0,0,222340,0,0,0,,18988.5,20369.1,27052.0,18721.8
dla n - ,11,suma,czasow,wynosi,12529.8,12807.4999999999,12367.3,11890.8,,25743.9,25471.7,25720.8,28124.0
1,131900.3,-101303.8,412153.400000001,-189058.1,131900.3,-101303.8,412153.400000001,-189058.1,,31947.6,29866.0,31716.3,30293.6
12,73581.6666666667,-13176.6666666667,-14756.6666666667,17088.3333333333,882980,-158120,-177080.000000001,205060,,44521.0,45713.3,36850.0,44913.8
144,-6142.36111111111,1914.58333333333,-1540.13888888889,0,-884499.999999999,275700,-221780,0,,80993.8,70546.4,63276.9,60645.2
1728,-67.6736111111114,0,0,0,-116940,0,0,0,,54612.7,59553.2,50976.8,109712.7
dla n - ,12,suma,czasow,wynosi,13440.2999999999,16276.2,13293.4,16001.9,,91038.0,97210.8,107926.6,103654.8
1,116454,-109945.8,641389.7,358413.2,116454,-109945.8,641389.7,358413.2,,,,,
13,58455.3846153845,915.384615384613,-41950.7692307693,-26427.6923076923,759919.999999999,11900,-545360.000000001,-343560,,,,,
169,-3718.224852071,675.739644970415,-480.710059171596,0,-628380,114200,-81239.9999999997,0,,,,,
2197,-104.879380974055,0,0,0,-230419.999999999,0,0,0,,,,,
dla n - ,13,suma,czasow,wynosi,17573.9999999999,16154.2,14789.7,14853.2,,,,,
1,646588.500000001,-260690.9,-1627768,251521.8,646588.500000001,-260690.9,-1627768,251521.8,,,,,
14,-1064.28571428565,5441.42857142858,46961.4285714286,-16628.5714285714,-14899.999999999,76180.0000000002,657460,-232800,,,,,
196,1118.06122448978,1045.30612244898,5088.57142857143,0,219139.999999998,204880,997360,0,,,,,
2744,-303.148688046647,0,0,0,-831840,0,0,0,,,,,
dla n - ,14,suma,czasow,wynosi,18988.5,20369.1,27052,18721.8,,,,,
1,-307096.1,-167228.3,84100.8000000011,144124,-307096.1,-167228.3,84100.8000000011,144124,,,,,
15,14660,-7148.00000000001,53425.3333333333,-7733.33333333333,219900,-107220,801380,-116000,,,,,
225,493.866666666666,1332.97777777778,-3821.15555555556,0,111120,299920,-859760.000000001,0,,,,,
3375,0.539259259259243,0,0,0,1819.99999999994,0,0,0,,,,,
dla n - ,15,suma,czasow,wynosi,25743.9,25471.7,25720.8,28124,,,,,
1,30507.6,2396746,863836.3,218653.6,30507.6,2396746,863836.3,218653.6,,,,,
16,20893.75,-26776.25,-75910,-11772.5,334300,-428420,-1214560,-188360,,,,,
256,-1766.015625,-7572.109375,1493.90625,0,-452100,-1938460,382440,0,,,,,
4096,29.111328125,0,0,0,119240,0,0,0,,,,,
dla n - ,16,suma,czasow,wynosi,31947.6,29866,31716.3,30293.6,,,,,
1,4539481,-142826.7,588890.000000001,-630086.2,4539481,-142826.7,588890.000000001,-630086.2,,,,,
17,-279814.117647059,12297.6470588235,27235.294117647,39705.8823529412,-4756840,209060,462999.999999999,675000,,,,,
289,2959.51557093426,-71.0034602076132,-3512.24913494809,0,855300.000000002,-20520.0000000002,-1015040,0,,,,,
4913,-120.785670669652,0,0,0,-593420.000000001,0,0,0,,,,,
dla n - ,17,suma,czasow,wynosi,44520.9999999997,45713.3,36850.0000000001,44913.8000000001,,,,,
1,-331667.300000001,-2521686.8,5088476.8,-11516807.3,-331667.300000001,-2521686.8,5088476.8,-11516807.3,,,,,
18,171460,113407.777777778,-317640,645917.777777778,3086280,2041340,-5717520,11626520,,,,,
324,-8117.53086419755,1666.35802469136,2098.82716049382,0,-2630080.00000001,539900.000000001,680019.999999997,0,,,,,
5832,-11.9890260630999,0,0,0,-69919.9999999984,0,0,0,,,,,
dla n - ,18,suma,czasow,wynosi,54612.6999999994,59553.1999999998,50976.7999999991,109712.700000001,,,,,
1,-3632706.2,-321193.600000004,2405036.9,4092245.2,-3632706.2,-321193.600000004,2405036.9,4092245.2,,,,,
19,156027.368421052,137807.368421053,-142509.473684211,-212189.473684211,2964519.99999999,2618340,-2707680,-4031600,,,,,
361,-4893.40720221604,-6167.86703601107,1013.62880886426,0,-1766519.99999999,-2226599.99999999,365919.999999999,0,,,,,
6859,366.773582154834,0,0,0,2515700.00000001,0,0,0,,,,,
dla n - ,19,suma,czasow,wynosi,80993.8000000003,70546.4000000004,63276.8999999998,60645.2000000002,,,,,
1,4143538,479250.8,-4622333.4,693314.8,4143538,479250.8,-4622333.4,693314.8,,,,,
20,-265947,-95110,67244.0000000002,-29483,-5318940.00000001,-1902200,1344880,-589660,,,,,
400,-877.199999999997,3800.4,8463.44999999998,0,-350879.999999999,1520160,3385379.99999999,0,,,,,
8000,202.165000000001,0,0,0,1617320,0,0,0,,,,,
dla n - ,20,suma,czasow,wynosi,91037.9999999998,97210.8,107926.599999999,103654.8,,,,,
